"cause","rate","deaths","rank","percent"
"#Certain conditions originating in the perinatal period (P00-P96)",12.7,10387,1,25.7
"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)",9.1,7444,2,18.4
"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",6.5,5286,3,13.1
"#Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",3.4,2770,4,6.9
"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",3.4,2756,5,6.8
"#Malignant neoplasms (C00-C97)",2.1,1704,6,4.2
"#Diseases of heart (I00-I09,I11,I13,I20-I51)",1.1,867,7,2.1
"#COVID-19 (U07.1)",1,829,8,2.1
"#Influenza and pneumonia (J09-J18)",0.6,472,9,1.2
"#Cerebrovascular diseases (I60-I69)",0.4,297,10,0.7
